Admin2,Crop,Area,Admin1
Kibaha,cereals _vop,6093537.796875,Pwani
Kibaha,groundnut _vop,135.399993896484,Pwani
Kibaha,pulses _vop,72537.2999267578,Pwani
Kibaha,rice _vop,5879006.9453125,Pwani
Kibaha,sorghum _vop,50076.1991271973,Pwani
Kibaha,total _vop,17997112.7631836,Pwani
Kibaha,wheat _vop,0,Pwani
Kibaha Urban,banana_and_plantain _vop,0,Pwani
Kibaha Urban,bean _vop,0,Pwani
Kibaha Urban,cassava _vop,547570.375,Pwani
Kibaha Urban,cereals _vop,4330842,Pwani
Kibaha Urban,groundnut _vop,0,Pwani
Kibaha Urban,pulses _vop,83197.0997924805,Pwani
Kibaha Urban,rice _vop,4249075,Pwani
Kibaha Urban,sorghum _vop,11846.900390625,Pwani
Kibaha Urban,total _vop,11945437.5976563,Pwani
Kibaha Urban,wheat _vop,0,Pwani
Kibondo,banana_and_plantain _vop,59607894.331665,Kigoma
Kibondo,bean _vop,22850905.5908127,Kigoma
Kibondo,cassava _vop,15778275.7505341,Kigoma
Kibondo,cereals _vop,17585574.2510452,Kigoma
Kibondo,groundnut _vop,2539913.99293137,Kigoma
Kibondo,pulses _vop,22651632.1902161,Kigoma
Kibondo,rice _vop,9073468.62359619,Kigoma
Kibondo,sorghum _vop,1058591.80518341,Kigoma
Kibondo,total _vop,139717425.005249,Kigoma
Kibondo,wheat _vop,0,Kigoma
Kigoma Rural,banana_and_plantain _vop,41664122.96875,Kigoma
Kigoma Rural,bean _vop,930462.482421875,Kigoma
Kigoma Rural,cassava _vop,2472397.18554687,Kigoma
Kigoma Rural,cereals _vop,2473227.890625,Kigoma
Kigoma Rural,groundnut _vop,777771.597167969,Kigoma
Kigoma Rural,pulses _vop,1593435.70214844,Kigoma
Kigoma Rural,rice _vop,2001222.3125,Kigoma
Kigoma Rural,sorghum _vop,0,Kigoma
Kigoma Rural,total _vop,85142259.1484375,Kigoma
Kigoma Rural,wheat _vop,0,Kigoma
Kilindi,banana_and_plantain _vop,5223230.41421509,Tanga
Kilindi,bean _vop,21145732.2839355,Tanga
Kilindi,cassava _vop,5183872.62322998,Tanga
Kilindi,cereals _vop,9980309.23040771,Tanga
Kilindi,groundnut _vop,29456.4006042481,Tanga
Kilindi,pulses _vop,22188956.2362061,Tanga
Kilindi,rice _vop,505061.896484375,Tanga
Kilindi,sorghum _vop,25229.8998985291,Tanga
Kilindi,total _vop,49085630.9013672,Tanga
Kilindi,wheat _vop,2493,Tanga
Kilolo,banana_and_plantain _vop,0,Iringa
Kilolo,bean _vop,6813485.40718079,Iringa
Kilolo,cassava _vop,1066602.09326172,Iringa
Kilolo,cereals _vop,14106659.9335327,Iringa
Kilolo,groundnut _vop,36945666.3438721,Iringa
Kilolo,pulses _vop,12958285.4782715,Iringa
Kilolo,rice _vop,860514.206119538,Iringa
Kilolo,sorghum _vop,250908.001251221,Iringa
Kilolo,total _vop,186207726.383301,Iringa
